Date,TimeEDT,Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
10/6/15,1:53 AM,54.0 °F,,45.0 °F,72%,30.10 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/6/15,2:53 AM,52.0 °F,,45.0 °F,77%,30.09 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/6/15,3:53 AM,51.1 °F,,44.1 °F,77%,30.09 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/6/15,4:53 AM,50.0 °F,,44.1 °F,80%,30.09 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/6/15,5:53 AM,48.9 °F,,43.0 °F,80%,30.09 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/6/15,6:53 AM,50.0 °F,,44.1 °F,80%,30.11 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/6/15,7:53 AM,50.0 °F,,44.1 °F,80%,30.12 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/6/15,8:53 AM,55.9 °F,,45.0 °F,67%,30.12 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/6/15,9:53 AM,62.1 °F,,46.0 °F,56%,30.12 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/6/15,10:53 AM,66.9 °F,,46.9 °F,49%,30.12 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/6/15,11:53 AM,72.0 °F,,48.0 °F,43%,30.09 in,10.0 mi,Variable,3.5 mph,-,N/A,,Clear
10/6/15,12:53 PM,72.0 °F,,46.9 °F,41%,30.09 in,10.0 mi,Calm,Calm,-,N/A,,Mostly Cloudy
10/6/15,1:53 PM,75.0 °F,,48.9 °F,40%,30.08 in,10.0 mi,Calm,Calm,-,N/A,,Scattered Clouds
10/6/15,2:53 PM,78.1 °F,,52.0 °F,40%,30.06 in,10.0 mi,NNW,8.1 mph,-,N/A,,Clear
10/6/15,3:53 PM,75.9 °F,,52.0 °F,43%,30.04 in,10.0 mi,North,8.1 mph,-,N/A,,Partly Cloudy
10/6/15,4:53 PM,75.9 °F,,52.0 °F,43%,30.04 in,10.0 mi,North,4.6 mph,-,N/A,,Clear
10/6/15,5:53 PM,73.9 °F,,52.0 °F,46%,30.05 in,10.0 mi,North,6.9 mph,-,N/A,,Clear
10/6/15,6:53 PM,70.0 °F,,53.1 °F,55%,30.05 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/6/15,7:53 PM,64.9 °F,,53.1 °F,65%,30.06 in,10.0 mi,South,3.5 mph,-,N/A,,Clear
10/6/15,8:53 PM,64.0 °F,,54.0 °F,70%,30.05 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/6/15,9:53 PM,62.1 °F,,54.0 °F,75%,30.05 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/6/15,10:53 PM,61.0 °F,,54.0 °F,78%,30.06 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/6/15,11:53 PM,60.1 °F,,54.0 °F,80%,30.05 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/7/15,12:53 AM,59.0 °F,,53.1 °F,81%,30.05 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/7/15,1:53 AM,59.0 °F,,54.0 °F,83%,30.06 in,10.0 mi,Calm,Calm,-,N/A,,Overcast
10/7/15,2:53 AM,60.1 °F,,54.0 °F,80%,30.05 in,10.0 mi,Calm,Calm,-,N/A,,Overcast
10/7/15,3:53 AM,59.0 °F,,53.1 °F,81%,30.04 in,10.0 mi,Calm,Calm,-,N/A,,Mostly Cloudy
10/7/15,4:53 AM,57.9 °F,,53.1 °F,84%,30.05 in,10.0 mi,Calm,Calm,-,N/A,,Scattered Clouds
10/7/15,5:53 AM,57.0 °F,,52.0 °F,83%,30.06 in,10.0 mi,Calm,Calm,-,N/A,,Mostly Cloudy
10/7/15,6:53 AM,55.9 °F,,51.1 °F,84%,30.07 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/7/15,7:53 AM,55.9 °F,,52.0 °F,87%,30.09 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/7/15,8:53 AM,60.1 °F,,54.0 °F,80%,30.12 in,10.0 mi,Calm,Calm,-,N/A,,Partly Cloudy
10/7/15,9:53 AM,61.0 °F,,55.0 °F,81%,30.13 in,10.0 mi,South,3.5 mph,-,N/A,,Overcast
10/7/15,10:53 AM,63.0 °F,,55.0 °F,75%,30.14 in,10.0 mi,SSE,3.5 mph,-,N/A,,Overcast
10/7/15,11:53 AM,68.0 °F,,55.0 °F,63%,30.13 in,10.0 mi,Calm,Calm,-,N/A,,Mostly Cloudy
10/7/15,12:07 PM,68.0 °F,,55.0 °F,63%,30.14 in,10.0 mi,NW,4.6 mph,-,N/A,,Mostly Cloudy
10/7/15,12:37 PM,71.1 °F,,55.0 °F,57%,30.13 in,10.0 mi,Calm,Calm,-,N/A,,Mostly Cloudy
10/7/15,12:53 PM,70.0 °F,,54.0 °F,57%,30.12 in,10.0 mi,NNW,3.5 mph,-,N/A,,Mostly Cloudy
10/7/15,1:27 PM,70.0 °F,,55.0 °F,59%,30.13 in,10.0 mi,Variable,3.5 mph,-,N/A,,Overcast
10/7/15,1:38 PM,72.0 °F,,55.0 °F,55%,30.13 in,10.0 mi,North,3.5 mph,-,N/A,,Mostly Cloudy
10/7/15,1:53 PM,71.1 °F,,54.0 °F,55%,30.11 in,10.0 mi,Calm,Calm,-,N/A,,Scattered Clouds
10/7/15,2:53 PM,73.0 °F,,52.0 °F,48%,30.09 in,10.0 mi,NNW,5.8 mph,-,N/A,,Scattered Clouds
10/7/15,3:53 PM,73.9 °F,,53.1 °F,48%,30.08 in,10.0 mi,Variable,3.5 mph,-,N/A,,Partly Cloudy
10/7/15,4:53 PM,75.0 °F,,53.1 °F,46%,30.08 in,10.0 mi,NW,3.5 mph,-,N/A,,Mostly Cloudy
10/7/15,5:53 PM,73.9 °F,,53.1 °F,48%,30.08 in,10.0 mi,NW,4.6 mph,-,N/A,,Mostly Cloudy
10/7/15,6:53 PM,71.1 °F,,53.1 °F,53%,30.09 in,10.0 mi,North,3.5 mph,-,N/A,,Overcast
10/7/15,7:53 PM,69.1 °F,,53.1 °F,57%,30.11 in,10.0 mi,Calm,Calm,-,N/A,,Mostly Cloudy
10/7/15,8:53 PM,64.9 °F,,54.0 °F,68%,30.12 in,10.0 mi,Calm,Calm,-,N/A,,Partly Cloudy
10/7/15,9:53 PM,64.9 °F,,54.0 °F,68%,30.13 in,10.0 mi,Calm,Calm,-,N/A,,Overcast
10/7/15,10:53 PM,64.0 °F,,55.0 °F,73%,30.13 in,10.0 mi,Calm,Calm,-,N/A,,Mostly Cloudy
10/7/15,11:53 PM,61.0 °F,,54.0 °F,78%,30.14 in,9.0 mi,Calm,Calm,-,N/A,,Partly Cloudy
10/8/15,12:53 AM,60.1 °F,,55.0 °F,83%,30.14 in,7.0 mi,Calm,Calm,-,N/A,,Overcast
10/8/15,1:53 AM,60.1 °F,,54.0 °F,80%,30.13 in,6.0 mi,Calm,Calm,-,N/A,,Haze
10/8/15,2:45 AM,57.9 °F,,53.1 °F,84%,30.14 in,1.2 mi,North,3.5 mph,-,N/A,,Haze
10/8/15,2:53 AM,57.9 °F,,53.1 °F,84%,30.12 in,0.5 mi,Calm,Calm,-,N/A,,Haze
10/8/15,3:19 AM,57.9 °F,,53.1 °F,84%,30.14 in,1.5 mi,Calm,Calm,-,N/A,,Haze
10/8/15,3:31 AM,57.9 °F,,52.0 °F,81%,30.14 in,2.0 mi,Calm,Calm,-,N/A,,Haze
10/8/15,3:33 AM,57.9 °F,,52.0 °F,81%,30.14 in,1.2 mi,Calm,Calm,-,N/A,,Haze
10/8/15,3:39 AM,57.0 °F,,52.0 °F,83%,30.14 in,0.8 mi,Calm,Calm,-,N/A,,Haze
10/8/15,3:44 AM,57.0 °F,,52.0 °F,83%,30.14 in,1.2 mi,Calm,Calm,-,N/A,,Haze
10/8/15,3:53 AM,57.0 °F,,52.0 °F,83%,30.12 in,3.0 mi,Calm,Calm,-,N/A,,Haze
10/8/15,3:57 AM,57.0 °F,,52.0 °F,83%,30.13 in,1.8 mi,Calm,Calm,-,N/A,,Haze
10/8/15,4:00 AM,57.0 °F,,52.0 °F,83%,30.13 in,0.8 mi,Calm,Calm,-,N/A,,Haze
10/8/15,4:16 AM,55.9 °F,,52.0 °F,87%,30.13 in,0.2 mi,Calm,Calm,-,N/A,Fog,Fog
10/8/15,4:24 AM,55.9 °F,,52.0 °F,87%,30.14 in,0.8 mi,Calm,Calm,-,N/A,,Mist
10/8/15,4:35 AM,55.9 °F,,52.0 °F,87%,30.14 in,0.2 mi,Calm,Calm,-,N/A,Fog,Fog
10/8/15,4:53 AM,55.9 °F,,52.0 °F,87%,30.12 in,0.2 mi,SSW,3.5 mph,-,N/A,Fog,Fog
10/8/15,5:36 AM,55.0 °F,,51.1 °F,86%,30.14 in,0.5 mi,Calm,Calm,-,N/A,Fog,Fog
10/8/15,5:47 AM,53.6 °F,,50.0 °F,88%,30.14 in,2.0 mi,Calm,Calm,-,N/A,,Mostly Cloudy
10/8/15,5:48 AM,54.0 °F,,50.0 °F,86%,30.13 in,2.0 mi,Calm,Calm,-,N/A,,Mostly Cloudy
10/8/15,6:14 AM,55.0 °F,,51.1 °F,86%,30.14 in,4.0 mi,Calm,Calm,-,N/A,,Clear
10/8/15,6:19 AM,54.0 °F,,50.0 °F,86%,30.14 in,1.5 mi,Calm,Calm,-,N/A,,Clear
10/8/15,6:21 AM,54.0 °F,,50.0 °F,86%,30.14 in,0.8 mi,Calm,Calm,-,N/A,,Mist
10/8/15,6:32 AM,54.0 °F,,50.0 °F,86%,30.14 in,0.2 mi,Calm,Calm,-,N/A,Fog,Fog
10/8/15,6:40 AM,55.0 °F,,50.0 °F,83%,30.15 in,1.0 mi,Calm,Calm,-,N/A,,Haze
10/8/15,6:42 AM,55.0 °F,,50.0 °F,83%,30.15 in,2.0 mi,NNW,3.5 mph,-,N/A,,Haze
10/8/15,6:49 AM,53.6 °F,,50.0 °F,88%,30.15 in,6.0 mi,Calm,Calm,-,N/A,,Scattered Clouds
10/8/15,6:53 AM,54.0 °F,,50.0 °F,86%,30.14 in,6.0 mi,Calm,Calm,-,N/A,,Partly Cloudy
10/8/15,7:53 AM,54.0 °F,,50.0 °F,86%,30.14 in,6.0 mi,Calm,Calm,-,N/A,,Partly Cloudy
10/8/15,8:53 AM,57.9 °F,,52.0 °F,81%,30.15 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/8/15,9:53 AM,63.0 °F,,55.0 °F,75%,30.16 in,8.0 mi,Calm,Calm,-,N/A,,Clear
10/8/15,10:53 AM,68.0 °F,,57.0 °F,68%,30.16 in,10.0 mi,Calm,Calm,-,N/A,,Mostly Cloudy
10/8/15,11:53 AM,73.9 °F,,55.0 °F,52%,30.14 in,10.0 mi,Variable,3.5 mph,-,N/A,,Clear
10/8/15,12:53 PM,75.0 °F,,52.0 °F,44%,30.13 in,10.0 mi,SW,6.9 mph,-,N/A,,Partly Cloudy
10/8/15,1:53 PM,75.0 °F,,51.1 °F,43%,30.10 in,8.0 mi,WSW,4.6 mph,-,N/A,,Scattered Clouds
10/8/15,2:53 PM,77.0 °F,,52.0 °F,42%,30.07 in,10.0 mi,Variable,4.6 mph,-,N/A,,Partly Cloudy
10/8/15,3:53 PM,78.1 °F,,53.1 °F,42%,30.06 in,10.0 mi,Variable,5.8 mph,-,N/A,,Mostly Cloudy
10/8/15,4:53 PM,78.1 °F,,53.1 °F,42%,30.05 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/8/15,5:53 PM,75.9 °F,,53.1 °F,45%,30.05 in,10.0 mi,SSW,3.5 mph,-,N/A,,Clear
10/8/15,6:53 PM,73.0 °F,,53.1 °F,49%,30.05 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/8/15,7:53 PM,69.1 °F,,54.0 °F,58%,30.05 in,10.0 mi,South,3.5 mph,-,N/A,,Clear
10/8/15,8:53 PM,66.0 °F,,54.0 °F,65%,30.05 in,10.0 mi,South,3.5 mph,-,N/A,,Clear
10/8/15,9:53 PM,64.0 °F,,55.0 °F,73%,30.04 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/8/15,10:53 PM,61.0 °F,,55.0 °F,81%,30.04 in,10.0 mi,South,3.5 mph,-,N/A,,Clear
10/8/15,11:53 PM,61.0 °F,,55.0 °F,81%,30.02 in,10.0 mi,South,3.5 mph,-,N/A,,Scattered Clouds
10/9/15,12:53 AM,63.0 °F,,55.0 °F,75%,30.01 in,10.0 mi,Calm,Calm,-,N/A,,Overcast
10/9/15,1:53 AM,64.0 °F,,54.0 °F,70%,29.99 in,10.0 mi,SSW,3.5 mph,-,N/A,,Scattered Clouds
10/9/15,2:53 AM,64.0 °F,,54.0 °F,70%,29.99 in,10.0 mi,Calm,Calm,-,N/A,,Overcast
10/9/15,3:53 AM,63.0 °F,,54.0 °F,72%,29.97 in,10.0 mi,South,3.5 mph,-,N/A,,Overcast
10/9/15,4:53 AM,66.9 °F,,54.0 °F,63%,29.96 in,10.0 mi,SSW,6.9 mph,-,N/A,,Mostly Cloudy
10/9/15,5:53 AM,64.0 °F,,55.9 °F,75%,29.96 in,10.0 mi,SSW,4.6 mph,-,0.00 in,,Overcast
10/9/15,6:53 AM,64.9 °F,,57.9 °F,78%,29.96 in,10.0 mi,Calm,Calm,-,0.00 in,,Mostly Cloudy
10/9/15,7:53 AM,64.9 °F,,57.9 °F,78%,29.97 in,10.0 mi,Variable,4.6 mph,-,N/A,,Mostly Cloudy
10/9/15,8:53 AM,66.9 °F,,57.9 °F,73%,29.97 in,10.0 mi,South,6.9 mph,-,N/A,,Scattered Clouds
10/9/15,9:53 AM,70.0 °F,,59.0 °F,68%,29.98 in,10.0 mi,Variable,5.8 mph,-,N/A,,Scattered Clouds
10/9/15,10:53 AM,71.1 °F,,59.0 °F,66%,29.96 in,10.0 mi,SW,6.9 mph,19.6 mph,N/A,,Scattered Clouds
10/9/15,11:53 AM,73.0 °F,,57.9 °F,59%,29.95 in,10.0 mi,SW,10.4 mph,21.9 mph,N/A,,Overcast
10/9/15,12:36 PM,73.9 °F,,57.9 °F,57%,29.95 in,10.0 mi,SW,10.4 mph,17.3 mph,N/A,,Overcast
10/9/15,12:53 PM,73.9 °F,,57.0 °F,55%,29.94 in,10.0 mi,SW,8.1 mph,19.6 mph,N/A,,Overcast
10/9/15,1:53 PM,72.0 °F,,59.0 °F,64%,29.93 in,10.0 mi,WSW,5.8 mph,-,0.00 in,,Mostly Cloudy
10/9/15,2:31 PM,71.1 °F,,60.1 °F,68%,29.94 in,10.0 mi,WSW,5.8 mph,-,N/A,,Overcast
10/9/15,2:48 PM,71.6 °F,,60.8 °F,69%,29.93 in,10.0 mi,SW,8.1 mph,-,N/A,,Overcast
10/9/15,2:53 PM,72.0 °F,,60.1 °F,66%,29.91 in,10.0 mi,SW,8.1 mph,-,N/A,,Overcast
10/9/15,3:11 PM,72.0 °F,,60.1 °F,66%,29.92 in,10.0 mi,WSW,8.1 mph,-,N/A,,Overcast
10/9/15,3:28 PM,66.0 °F,,59.0 °F,78%,29.93 in,0.8 mi,NW,6.9 mph,20.7 mph,0.15 in,Rain,Heavy Rain
10/9/15,3:37 PM,66.0 °F,,60.1 °F,81%,29.93 in,7.0 mi,Variable,3.5 mph,-,0.17 in,Rain,Light Rain
10/9/15,3:44 PM,66.9 °F,,61.0 °F,81%,29.93 in,7.0 mi,WNW,3.5 mph,-,0.21 in,Rain,Rain
10/9/15,3:53 PM,66.9 °F,,61.0 °F,81%,29.92 in,7.0 mi,North,5.8 mph,-,0.21 in,Rain,Light Rain
10/9/15,4:53 PM,68.0 °F,,62.1 °F,81%,29.91 in,9.0 mi,SSE,4.6 mph,-,0.00 in,,Partly Cloudy
10/9/15,5:49 PM,68.0 °F,,60.8 °F,78%,29.94 in,1.8 mi,Variable,4.6 mph,-,0.05 in,Rain,Rain
10/9/15,5:53 PM,68.0 °F,,61.0 °F,78%,29.92 in,1.5 mi,WSW,3.5 mph,-,0.06 in,Rain,Heavy Rain
10/9/15,5:58 PM,68.0 °F,,61.0 °F,78%,29.94 in,4.0 mi,Variable,3.5 mph,-,0.00 in,Rain,Light Rain
10/9/15,6:30 PM,66.0 °F,,57.9 °F,75%,29.98 in,9.0 mi,North,8.1 mph,-,0.01 in,,Overcast
10/9/15,6:53 PM,64.9 °F,,57.9 °F,78%,29.97 in,8.0 mi,North,5.8 mph,-,0.01 in,,Overcast
10/9/15,7:06 PM,64.9 °F,,59.0 °F,81%,30.00 in,9.0 mi,Variable,4.6 mph,-,N/A,,Overcast
10/9/15,7:26 PM,64.0 °F,,57.0 °F,78%,30.01 in,10.0 mi,North,10.4 mph,17.3 mph,N/A,,Overcast
10/9/15,7:53 PM,63.0 °F,,55.0 °F,75%,30.02 in,10.0 mi,North,13.8 mph,-,N/A,,Overcast
10/9/15,8:08 PM,63.0 °F,,54.0 °F,72%,30.04 in,10.0 mi,NNW,8.1 mph,-,N/A,,Overcast
10/9/15,8:21 PM,63.0 °F,,54.0 °F,72%,30.05 in,10.0 mi,North,11.5 mph,18.4 mph,N/A,,Overcast
10/9/15,8:28 PM,63.0 °F,,54.0 °F,72%,30.05 in,10.0 mi,NNW,6.9 mph,18.4 mph,N/A,,Overcast
10/9/15,8:43 PM,62.1 °F,,54.0 °F,75%,30.05 in,10.0 mi,North,8.1 mph,-,N/A,,Overcast
10/9/15,8:53 PM,62.1 °F,,53.1 °F,72%,30.05 in,10.0 mi,NNW,5.8 mph,-,N/A,,Overcast
10/9/15,9:07 PM,62.1 °F,,53.1 °F,72%,30.06 in,10.0 mi,North,8.1 mph,-,N/A,,Overcast
10/9/15,9:53 PM,61.0 °F,,52.0 °F,72%,30.06 in,10.0 mi,NW,6.9 mph,-,N/A,,Overcast
10/9/15,10:53 PM,60.1 °F,,51.1 °F,72%,30.08 in,10.0 mi,NNW,6.9 mph,-,N/A,,Overcast
10/9/15,11:30 PM,59.0 °F,,50.0 °F,72%,30.10 in,10.0 mi,North,8.1 mph,-,N/A,,Overcast
10/9/15,11:37 PM,59.0 °F,,48.9 °F,69%,30.10 in,10.0 mi,North,8.1 mph,-,N/A,,Overcast
10/9/15,11:53 PM,57.9 °F,,48.0 °F,70%,30.09 in,10.0 mi,North,8.1 mph,-,N/A,,Overcast
10/10/15,12:51 AM,57.2 °F,,46.4 °F,67%,30.11 in,10.0 mi,North,6.9 mph,-,N/A,,Overcast
10/10/15,12:53 AM,57.0 °F,,46.0 °F,67%,30.09 in,10.0 mi,NNE,9.2 mph,-,N/A,,Overcast
10/10/15,1:53 AM,55.0 °F,,46.0 °F,72%,30.10 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/10/15,2:53 AM,52.0 °F,,45.0 °F,77%,30.11 in,10.0 mi,North,5.8 mph,-,N/A,,Clear
10/10/15,3:53 AM,52.0 °F,,44.1 °F,74%,30.12 in,10.0 mi,NNE,4.6 mph,-,N/A,,Clear
10/10/15,4:53 AM,52.0 °F,,44.1 °F,74%,30.13 in,10.0 mi,North,3.5 mph,-,N/A,,Clear
10/10/15,5:53 AM,50.0 °F,,44.1 °F,80%,30.14 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/10/15,6:53 AM,48.0 °F,,43.0 °F,83%,30.16 in,8.0 mi,Calm,Calm,-,N/A,,Partly Cloudy
10/10/15,7:53 AM,48.0 °F,,43.0 °F,83%,30.16 in,5.0 mi,Calm,Calm,-,N/A,,Haze
10/10/15,8:39 AM,52.0 °F,,46.9 °F,83%,30.16 in,7.0 mi,North,3.5 mph,-,N/A,,Mostly Cloudy
10/10/15,8:53 AM,52.0 °F,,46.0 °F,80%,30.17 in,8.0 mi,North,3.5 mph,-,N/A,,Overcast
10/10/15,9:53 AM,54.0 °F,,46.0 °F,75%,30.18 in,10.0 mi,North,6.9 mph,-,N/A,,Overcast
10/10/15,10:15 AM,54.0 °F,,44.1 °F,69%,30.18 in,10.0 mi,NE,6.9 mph,-,N/A,,Mostly Cloudy
10/10/15,10:53 AM,55.0 °F,,43.0 °F,64%,30.19 in,10.0 mi,NE,8.1 mph,-,N/A,,Overcast
10/10/15,11:53 AM,59.0 °F,,41.0 °F,51%,30.17 in,10.0 mi,NE,8.1 mph,-,N/A,,Clear
10/10/15,12:53 PM,61.0 °F,,42.1 °F,50%,30.16 in,10.0 mi,Variable,4.6 mph,-,N/A,,Clear
10/10/15,1:53 PM,64.0 °F,,42.1 °F,45%,30.14 in,10.0 mi,NNW,6.9 mph,-,N/A,,Scattered Clouds
10/10/15,2:53 PM,66.0 °F,,43.0 °F,43%,30.10 in,10.0 mi,North,8.1 mph,-,N/A,,Clear
10/10/15,3:53 PM,66.9 °F,,44.1 °F,44%,30.08 in,10.0 mi,Variable,6.9 mph,-,N/A,,Clear
10/10/15,4:53 PM,66.0 °F,,42.1 °F,42%,30.07 in,10.0 mi,NNW,4.6 mph,-,N/A,,Clear
10/10/15,5:53 PM,64.0 °F,,41.0 °F,43%,30.06 in,10.0 mi,NW,5.8 mph,-,N/A,,Clear
10/10/15,6:53 PM,59.0 °F,,41.0 °F,51%,30.07 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/10/15,7:53 PM,57.9 °F,,41.0 °F,53%,30.09 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/10/15,8:53 PM,52.0 °F,,43.0 °F,71%,30.09 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/10/15,9:53 PM,52.0 °F,,42.1 °F,69%,30.09 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/10/15,10:53 PM,50.0 °F,,43.0 °F,77%,30.09 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/10/15,11:53 PM,48.9 °F,,42.1 °F,77%,30.07 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/11/15,12:53 AM,46.9 °F,-,41.0 °F,80%,30.07 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/11/15,1:53 AM,45.0 °F,42.6 °F,41.0 °F,86%,30.06 in,10.0 mi,South,4.6 mph,-,N/A,,Clear
10/11/15,2:53 AM,45.0 °F,-,39.9 °F,82%,30.05 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/11/15,3:53 AM,44.1 °F,42.5 °F,39.0 °F,82%,30.03 in,7.0 mi,SSE,3.5 mph,-,N/A,,Clear
10/11/15,4:53 AM,46.0 °F,-,39.0 °F,76%,30.03 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/11/15,5:53 AM,44.1 °F,-,39.0 °F,82%,30.04 in,9.0 mi,Calm,Calm,-,N/A,,Clear
10/11/15,6:53 AM,42.1 °F,-,37.0 °F,82%,30.04 in,9.0 mi,Calm,Calm,-,N/A,,Clear
10/11/15,7:53 AM,43.0 °F,-,37.9 °F,82%,30.05 in,9.0 mi,Calm,Calm,-,N/A,,Clear
10/11/15,8:53 AM,48.9 °F,-,43.0 °F,80%,30.07 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/11/15,9:53 AM,52.0 °F,-,43.0 °F,71%,30.08 in,10.0 mi,Variable,3.5 mph,-,N/A,,Clear
10/11/15,10:53 AM,59.0 °F,-,46.0 °F,62%,30.08 in,10.0 mi,South,4.6 mph,-,N/A,,Clear
10/11/15,11:53 AM,63.0 °F,-,43.0 °F,48%,30.06 in,10.0 mi,SW,6.9 mph,-,N/A,,Clear
10/11/15,12:53 PM,64.9 °F,-,43.0 °F,45%,30.03 in,10.0 mi,Variable,4.6 mph,-,N/A,,Clear
10/11/15,1:53 PM,66.9 °F,-,43.0 °F,42%,29.99 in,10.0 mi,Variable,6.9 mph,-,N/A,,Clear
10/11/15,2:53 PM,69.1 °F,-,43.0 °F,39%,29.95 in,10.0 mi,WSW,5.8 mph,-,N/A,,Clear
10/11/15,3:53 PM,70.0 °F,-,41.0 °F,35%,29.94 in,10.0 mi,SW,5.8 mph,-,N/A,,Clear
10/11/15,4:53 PM,69.1 °F,-,41.0 °F,36%,29.92 in,10.0 mi,Variable,5.8 mph,-,N/A,,Clear
10/11/15,5:53 PM,68.0 °F,-,42.1 °F,39%,29.91 in,10.0 mi,Variable,3.5 mph,-,N/A,,Clear
10/11/15,6:53 PM,64.0 °F,-,44.1 °F,48%,29.92 in,10.0 mi,South,3.5 mph,-,N/A,,Clear
